TEAM_NAME,PLAYER_NAME,POS,EST_RETURN,STATUS,COMMENT,DATA_DATE
Oklahoma City Thunder,Jalen Williams,F,Mar 15,Out,"Mar 12: Thunder coach Mark Daigneault said Williams (hip) does not have a timetable to return, Tim Bontemps of ESPN.com reports.",2025-03-13
Oklahoma City Thunder,Ajay Mitchell,G,Apr 2,Out,"Feb 6: Mitchell was converted from a two-way deal Thursday to a two-year contract with the Thunder, Shams Charania of ESPN reports.",2025-03-13
Oklahoma City Thunder,Nikola Topic,G,Jul 1,Out,"Jan 12: Topic (knee) was spotted taking part in light shooting drills on the court prior to the Thunder's 105-92 loss to the Celtics last Sunday, Clemente Almanza of USA Today reports.",2025-03-13
Orlando Magic,Jalen Suggs,SG,Oct 1,Out,Mar 4: The Magic announced Tuesday that Suggs (knee) has been ruled out for the remainder of the 2024-25 campaign after undergoing successful surgery.,2025-03-13
Orlando Magic,Moritz Wagner,C,Oct 1,Out,Jan 9: The Magic announced that Wagner underwent successful surgery to repair a torn ACL in his left knee Wednesday and will miss the remainder of the 2024-25 season.,2025-03-13
Philadelphia 76ers,Lonnie Walker IV,G,Mar 14,Out,"Mar 12: Walker (head) has been ruled out for the remainder of Wednesday's game against Toronto, Keith Pompey of The Philadelphia Inquirer reports.",2025-03-13
Philadelphia 76ers,Guerschon Yabusele,F,Mar 14,Out,"Mar 12: Yabusele (knee) has been ruled out for Wednesday's game against the Raptors, Blake Murphy of Sportsnet.ca reports.",2025-03-13
Philadelphia 76ers,Kyle Lowry,PG,Mar 14,Out,Mar 11: Lowry (hip) has been ruled out for Wednesday's game against Toronto.,2025-03-13
Philadelphia 76ers,Tyrese Maxey,PG,Mar 14,Out,Mar 11: Maxey (back/finger) has been ruled out for Wednesday's game against the Raptors.,2025-03-13
Philadelphia 76ers,Paul George,F,Mar 14,Out,"Mar 10: George (groin) won't play Monday in Atlanta or Wednesday at Toronto, Keith Pompey of The Philadelphia Inquirer reports.",2025-03-13
Philadelphia 76ers,Joel Embiid,C,Oct 1,Out,"Feb 28: Embiid (knee) has been ruled out for the rest of the season by the 76ers, Shams Charania of ESPN reports.",2025-03-13
Philadelphia 76ers,Eric Gordon,SG,Oct 1,Out,"Feb 27: The 76ers announced Thursday that Gordon (wrist) will be re-evaluated in three months after undergoing successful surgery Wednesday, Keith Pompey of The Philadelphia Inquirer reports.",2025-03-13
Philadelphia 76ers,Jared McCain,G,Oct 1,Out,"Jan 9: McCain was reviewed Thursday by the surgeon who performed surgery on his left knee and is progressing well. The 76ers officially ruled out for the rest of the season, Kyle Neubeck of AllPHLY.com reports.",2025-03-13
Phoenix Suns,Monte Morris,PG,Mar 14,Out,Mar 12: Morris (back) has been ruled out for Wednesday's game against the Rockets.,2025-03-13
Phoenix Suns,Grayson Allen,SG,Mar 14,Out,"Mar 12: Allen (foot) has been ruled out for Wednesday's game against the Rockets, Amanda Pflugrad of 3TV Phoenix reports.",2025-03-13
Phoenix Suns,Nick Richards,C,Mar 14,Out,"Mar 12: Richards (ankle) has been ruled out for Wednesday's game against the Rockets, Amanda Pflugrad of 3TV Phoenix reports.",2025-03-13
Portland Trail Blazers,Jabari Walker,F,Mar 16,Out,Mar 13: Walker is being evaluated for a concussion and has been ruled out for the remainder of Wednesday's game against the Knicks.,2025-03-13
Portland Trail Blazers,Jerami Grant,SF,Mar 16,Out,"Mar 12: Grant has been ruled out for Wednesday's game against the Knicks, Danny Marang of 1080 The Fan Portland reports.",2025-03-13
Portland Trail Blazers,Deandre Ayton,C,Mar 21,Out,Feb 12: Portland announced Wednesday that Ayton has been diagnosed with a left calf strain and that he will be re-evaluated in four weeks.,2025-03-13
Sacramento Kings,Jake LaRavia,F,Mar 13,Day-To-Day,Mar 12: LaRavia (knee) has been listed as questionable for Thursday's game against the Warriors,2025-03-13
Sacramento Kings,Domantas Sabonis,PF,Mar 13,Out,Mar 12: Sabonis (hamstring) has been listed as questionable for Thursday's game against the Warriors.,2025-03-13
Sacramento Kings,Jae Crowder,PF,Mar 13,Day-To-Day,Mar 11: Crowder (back) has been ruled out for Monday's game against the Knicks.,2025-03-13
San Antonio Spurs,Charles Bassey,C,Mar 14,Out,"Mar 11: Bassey (knee) has been ruled out for Wednesday's game against the Mavericks, Paul Garcia of ProjectSpurs.com reports.",2025-03-13
San Antonio Spurs,Victor Wembanyama,C,Oct 1,Out,"Feb 20: Wembanyama will not play for the remainder of the 2024-25 season due to deep vein thrombosis in his right shoulder, Shams Charania of ESPN reports.",2025-03-13
San Antonio Spurs,Riley Minix,F,Oct 1,Out,"Jan 15: Minix will miss the remainder of the season with a torn labrum in his left shoulder, Michael C. Wright of ESPN.com reports.",2025-03-13
Toronto Raptors,Ochai Agbaji,G,Mar 14,Out,"Mar 12: Agbaji (ankle) has been ruled out for Wednesday's game against the 76ers, Josh Lewenberg of TSN.ca reports.",2025-03-13
Toronto Raptors,Scottie Barnes,SF,Mar 14,Out,"Mar 12: Barnes (hand) has been ruled out for Wednesday's game against the 76ers, Josh Lewenberg of TSN.ca reports.",2025-03-13
Toronto Raptors,Immanuel Quickley,SG,Mar 14,Out,Mar 11: Quickley (rest) is listed as out for Wednesday's game against the 76ers.,2025-03-13
Toronto Raptors,RJ Barrett,SG,Mar 14,Out,Mar 11: Barrett (personal) has been ruled out for Wednesday's game against the 76ers.,2025-03-13
Toronto Raptors,Jonathan Mogbo,F,Mar 14,Out,"Mar 11: Mogbo (nose) has been ruled out for Wednesday's game against the 76ers, Blake Murphy of Sportsnet.ca reports.",2025-03-13
Toronto Raptors,Ja'Kobe Walter,G,Mar 14,Out,"Mar 11: Walter (hip) will not play Wednesday against the 76ers, Blake Murphy of Sportsnet.ca reports.",2025-03-13
Toronto Raptors,Brandon Ingram,SF,Apr 1,Out,"Mar 6: The Raptors announced Thursday that Ingram (ankle) is progressing as expected, but he's still limited to individual work, Josh Lewenberg of TSN.ca reports.",2025-03-13
Toronto Raptors,Gradey Dick,G,Mar 24,Out,"Mar 4: The Raptors announced Tuesday that Dick (knee) will be re-evaluated in two weeks, NBA reporter Marc Stein reports.",2025-03-13
Toronto Raptors,Ulrich Chomche,C,Jul 1,Out,"Feb 19: Chomche was diagnosed Wednesday with a partial proximal MCL tear in his right knee and will miss the remainder of the season, Michael Scotto of USA Today reports.",2025-03-13
Utah Jazz,Keyonte George,G,Mar 14,Out,Mar 12: George (foot) will not play Monday against Memphis.,2025-03-13
Utah Jazz,Taylor Hendricks,F,Oct 1,Out,"Nov 6: Hendricks underwent surgery on his broken right leg and dislocated ankle Wednesday, Andy Larsen of The Salt Lake Tribune reports.",2025-03-13
Washington Wizards,Colby Jones,G,Mar 13,Out,Mar 12: Jones is questionable for Thursday's game against the Pistons due to right Achilles tendinopathy.,2025-03-13
Washington Wizards,Bilal Coulibaly,SG,Mar 15,Out,Mar 12: Coulibaly (hip) has been ruled out for Thursday's game against the Pistons.,2025-03-13
Washington Wizards,Malcolm Brogdon,PG,Mar 15,Out,Mar 12: Brogdon (ankle) has been ruled out for Thursday's game against the Pistons.,2025-03-13
Washington Wizards,Saddiq Bey,SF,Apr 6,Out,Mar 2: Bey (knee) is out for Monday's game against the Heat and will remain sidelined indefinitely.,2025-03-13
